#RECORD_TYPE|REFERENCE_ID|SERVICE_ID|CATEGORY_ID|CHARGING_CP_ID|BEARER|VAS_GROUP|VAS_TYPE|PRICE|CHARGING_DESCRIPTION|CONFIRMED_DATE|GSM_ADVANCE|ONE_2_CALL|GSM_1800|CCT|STATUS|LAST_UPDATE|AWN_Postpaid|AWN_Prepaid|SERVICE_CATEGORY|SERVICE_MODEL|PKG_ID|BUSINESS_CODE|BUSINESS_GROUP_ID|DR_TYPE_ID|NAME|INCL_TAX|DESCRIPTION|SERVICE_NUMBER|REVENUE_SHARE_OPERATOR|REVENUE_SHARE_PARTNER|Company_Name|Per_Transaction|Per_Package|Per_Month|Other|Service_Name|Current_Call_Charge_Group|TentativeLaunchDtm|dtUpdate|cSeq|cFileName
2|USMAP947(8)/2558|90036|903|512|0|6|10|0|4152384_SMSDIFFPRICESUBPACK|1/1/1900|Yes|Yes|No|9|On Service|8/26/2015|Yes|Yes|32|4|6768|9.03513E+17|463|250200|TORO|1|SMSDiffPriceSubpack|4152384|50|50|VSMAP|Yes|Yes|No|"Per Transaction 2 per day|Per Period 15 day(s)"|SMSDiffPriceSubpack|21|1/1/1900|2/19/2016|2.01622E+15|USMAP_VAS_GROUP_TYPE_20151123_160139.dat
2|USMAP3600(1)/2559|52135|902|131|0|15|49|8|4131002_DAILY_VIDEO|8/26/2016|Yes|Yes|No|11|On Service|8/26/2016|Yes|Yes|32|1|2361|9.02132E+17|1318|250200|MOBS|1|mEntn/VDOclip|4131002|50|50|Mobistar|Yes|No|No|Per Transaction 1 per day|Daily Video|20|1/1/1900|8/27/2016|2.01683E+13|USMAP_VAS_GROUP_TYPE_20160827_004000.dat
2|USMAP308(3)/2558|86789|902|884|0|15|20|0|4884017_GIRLGANG20|5/14/2015|Yes|Yes|No|9|On Service|5/13/2015|Yes|Yes|32|1|6469|9.02885E+17|1421|250200|VASI|1|mEntn/Content|4884017|50|50|VAS Innovation|Yes|No|No|Per Transaction 1 per day|GirlGang20|18|3/26/2015|2/19/2016|2.01622E+15|USMAP_VAS_GROUP_TYPE_20151123_160139.dat
2|USMAP3599(1)/2559|52231|902|131|0|15|20|0|4131001_DAILY_PHOTO|8/26/2016|Yes|Yes|No|10|On Service|8/26/2016|Yes|Yes|32|1|2364|9.02132E+17|1278|250200|MOBS|1|mEntn/Photo|4131001|50|50|Mobistar|Yes|No|No|Per Transaction 1 per day|Daily Photo|17|1/1/1900|8/27/2016|2.01683E+13|USMAP_VAS_GROUP_TYPE_20160827_004000.dat
2|USMAP3599(1)/2559|52235|902|131|0|15|20|0|4131001_DAILY_PHOTO|8/26/2016|Yes|Yes|No|99|On Service|8/26/2016|Yes|Yes|32|1|2364|9.02132E+17|463|250200|MOBS|1|mEntn/Photo|4131001|50|50|Mobistar|Yes|No|No|Per Transaction 1 per day|Daily Photo|17|1/1/1900|8/27/2016|2.01683E+13|USMAP_VAS_GROUP_TYPE_20160827_004000.dat
2|USMAP1268(3)/2558|91444|902|503|0|15|49|0|4503276_CLIPFINFIN(2)-20|12/3/2015|Yes|Yes|No|10|On Service|12/3/2015|Yes|Yes|32|3|6893|9.02504E+17|1310|250200|AVIM|1|mEntn/VDOclip|4503276|50|50|AVI Mobiletainment|Yes|No|No|Per Transaction 2 per day|ClipFinFin(2)-20|20|11/18/2015|2/19/2016|2.01622E+15|USMAP_VAS_GROUP_TYPE_20160219_004000.dat
2|USMAP3600(1)/2559|52137|902|131|0|15|49|0|4131002_DAILY_VIDEO|8/26/2016|Yes|Yes|No|9|On Service|8/26/2016|Yes|Yes|32|1|2361|9.02132E+17|463|250200|MOBS|1|mEntn/VDOclip|4131002|50|50|Mobistar|Yes|No|No|Per Transaction 1 per day|Daily Video|20|1/1/1900|8/27/2016|2.01683E+13|USMAP_VAS_GROUP_TYPE_20160827_004000.dat
2|USMAP3600(1)/2559|52141|902|131|0|15|49|0|4131002_DAILY_VIDEO|8/26/2016|Yes|Yes|No|14|On Service|8/26/2016|Yes|Yes|32|1|2361|9.02132E+17|463|250200|MOBS|1|mEntn/VDOclip|4131002|50|50|Mobistar|Yes|No|No|Per Transaction 1 per day|Daily Video|20|1/1/1900|8/27/2016|2.01683E+13|USMAP_VAS_GROUP_TYPE_20160827_004000.dat
2|USMAP308(3)/2558|86797|902|884|0|15|20|0|4884017_GIRLGANG28|5/14/2015|Yes|Yes|No|9|On Service|5/13/2015|Yes|Yes|32|1|6469|9.02885E+17|1421|250200|VASI|1|mEntn/Content|4884017|50|50|VAS Innovation|Yes|No|No|Per Transaction 1 per day|GirlGang28|18|3/26/2015|2/19/2016|2.01622E+15|USMAP_VAS_GROUP_TYPE_20151123_160139.dat
2|USMAP3599(1)/2559|52240|902|131|0|15|20|8|4131001_DAILY_PHOTO|8/26/2016|Yes|Yes|No|11|On Service|8/26/2016|Yes|Yes|32|1|2364|9.02132E+17|1285|250200|MOBS|1|mEntn/Photo|4131001|50|50|Mobistar|Yes|No|No|Per Transaction 1 per day|Daily Photo|17|1/1/1900|8/27/2016|2.01683E+13|USMAP_VAS_GROUP_TYPE_20160827_004000.dat
